codigo_produto,produto_nome,base_legal,unidade,data_atualizacao,codigo_tipo,descricao_tipo,ncm,ncm_descricao
2111,"CONJUNTO EMBREAGEM DE POLIAS MÓVEIS PARA CICLOMOTORES, MOTONETAS, MOTOCICLETAS, TRICICLOS E QUADRICICLOS","PORTARIA INTERMINISTERIAL MDIC/MCTI N° 75, 26 DE SETEMBRO DE 2024",UNIDADE,03/09/2018 17:09,005,para ciclomotor,"84836090, 84839000","DISPOSITIVOS DE ACOPLAMENTO,INCL.JUNTAS DE ARTICULACAO | Rodas dentadas e outros órgãos elementares de transmissão apresentados separadamente; partes."
2111,"CONJUNTO EMBREAGEM DE POLIAS MÓVEIS PARA CICLOMOTORES, MOTONETAS, MOTOCICLETAS, TRICICLOS E QUADRICICLOS","PORTARIA INTERMINISTERIAL MDIC/MCTI N° 75, 26 DE SETEMBRO DE 2024",UNIDADE,03/09/2018 17:09,010,para motoneta,"84836090, 84839000","DISPOSITIVOS DE ACOPLAMENTO,INCL.JUNTAS DE ARTICULACAO | Rodas dentadas e outros órgãos elementares de transmissão apresentados separadamente; partes."
2111,"CONJUNTO EMBREAGEM DE POLIAS MÓVEIS PARA CICLOMOTORES, MOTONETAS, MOTOCICLETAS, TRICICLOS E QUADRICICLOS","PORTARIA INTERMINISTERIAL MDIC/MCTI N° 75, 26 DE SETEMBRO DE 2024",UNIDADE,03/09/2018 17:09,015,para motocicleta,"84836090, 84839000","DISPOSITIVOS DE ACOPLAMENTO,INCL.JUNTAS DE ARTICULACAO | Rodas dentadas e outros órgãos elementares de transmissão apresentados separadamente; partes."
2111,"CONJUNTO EMBREAGEM DE POLIAS MÓVEIS PARA CICLOMOTORES, MOTONETAS, MOTOCICLETAS, TRICICLOS E QUADRICICLOS","PORTARIA INTERMINISTERIAL MDIC/MCTI N° 75, 26 DE SETEMBRO DE 2024",UNIDADE,03/09/2018 17:09,020,para triciclo,"84836090, 84839000","DISPOSITIVOS DE ACOPLAMENTO,INCL.JUNTAS DE ARTICULACAO | Rodas dentadas e outros órgãos elementares de transmissão apresentados separadamente; partes."
2111,"CONJUNTO EMBREAGEM DE POLIAS MÓVEIS PARA CICLOMOTORES, MOTONETAS, MOTOCICLETAS, TRICICLOS E QUADRICICLOS","PORTARIA INTERMINISTERIAL MDIC/MCTI N° 75, 26 DE SETEMBRO DE 2024",UNIDADE,03/09/2018 17:09,025,para quadriciclo,"84836090, 84839000","DISPOSITIVOS DE ACOPLAMENTO,INCL.JUNTAS DE ARTICULACAO | Rodas dentadas e outros órgãos elementares de transmissão apresentados separadamente; partes."
2230,ETANOL COMBUSTÍVEL,"DECRETO-LEI N° 1.435, 16 DE DEZEMBRO DE 1975. Alteração: RES 2/2021",LITRO,,005,Etanol anidro combustível (EAC),22071010,Com um teor de agua inferior ou igual a 1 % vol.
2230,ETANOL COMBUSTÍVEL,"DECRETO-LEI N° 1.435, 16 DE DEZEMBRO DE 1975. Alteração: RES 2/2021",LITRO,,010,Etanol hidratado combustível (EHC),22071090,"Outros, álcool etílico não desnaturado, com um  teor alcoólico, em volume, igual ou superior a 80 % vol"
0814,"""MAGAZINE"" PARA FILME FOTOGRÁFICO","Portaria Interministerial MDIC/MCT nº 16, de 23 de fevereiro de 2000",UNIDADE,,005,com tampa (arruela),73102190,"OUTROS LATAS DE FERRO/ACO,FECHAM.P/SOLD.CRAV.C<50L"
0814,"""MAGAZINE"" PARA FILME FOTOGRÁFICO","Portaria Interministerial MDIC/MCT nº 16, de 23 de fevereiro de 2000",UNIDADE,,010,sem tampa (arruela),73102990,"OUTROS RESERVATORIOS,ETC.DE FERRO/ACO,C<50L"
1456,"""TIMER"" PARA CONDICIONADOR DE AR","Portaria Interministerial MDIC/MCT nº 399, de 3 de setembro de 2003",UNIDADE,,005,standard,,
0426,"ACENDEDOR PARA APARELHOS A GÁS, COM MECANISMOS GERADORES DE CENTELHA PIROFÓRICO, PIEZOELÉTRICO OU ELETRÔNICO","PORTARIA INTERMINISTERIAL MDIC/MCT N° 203, 13 DE NOVEMBRO DE 2007",UNIDADE,,005,PIROFÓRICO,96138000,OUTROS ISQUEIROS E ACENDEDORES
0426,"ACENDEDOR PARA APARELHOS A GÁS, COM MECANISMOS GERADORES DE CENTELHA PIROFÓRICO, PIEZOELÉTRICO OU ELETRÔNICO","PORTARIA INTERMINISTERIAL MDIC/MCT N° 203, 13 DE NOVEMBRO DE 2007",UNIDADE,,010,PIEZO-ELÉTRICO,96138000,OUTROS ISQUEIROS E ACENDEDORES
0426,"ACENDEDOR PARA APARELHOS A GÁS, COM MECANISMOS GERADORES DE CENTELHA PIROFÓRICO, PIEZOELÉTRICO OU ELETRÔNICO","PORTARIA INTERMINISTERIAL MDIC/MCT N° 203, 13 DE NOVEMBRO DE 2007",UNIDADE,,015,ELETRÔNICO,96138000,OUTROS ISQUEIROS E ACENDEDORES
0427,ACETILENO,"PORTARIA INTERMINISTERIAL MDIC/MCT N° 60, 28 DE SETEMBRO DE 2000",QUILOGRAMA LÍQUIDO,,005,standard,29012900,OUTROS HIDROCARBONETOS ACICLICOS NAO SATURADOS
2143,ACUMULADORES ELÉTRICOS PRÓPRIOS PARA OPERAR EM SISTEMAS DE ENERGIA DO CÓDIGO 8504.40.40,"Portaria Interministerial SEPEC/ME/SEXEC/MCTI nº 3.213, de 17 de março de 2021 e Portaria Interministerial nº MDIC/MCTI nº 44, de 20 de fevereiro de 2024",UNIDADE,16/08/2024 17:08,005,De íon de lítio,85076000,ACUMULADORES ELETR. DE ION DE LITIO
0035,ADAPTADOR DE TELEFONE CELULAR PARA FAX/CELULAR,"PORTARIA INTERMINISTERIAL MPO/MICT/MCT N° 17, 23 DE SETEMBRO DE 1996. Alteração: POR 209/1999",UNIDADE,,005,standard (bem final) - baseado em técnica digital,85299019,OUTROS PARTES P/APARS.TRANSMISSORES/RECEPTORES
0907,ADAPTADOR DO AUSCULTADOR/MICROFONE PARA TELEFONE CELULAR,"Portaria Interministerial MPO/MICT/MCT nº 17, de 23 de setembro de 1996 (Incluído no anexo da Portaria citada, conforme Portaria Suframa nº 209/99, DOU de 28.07.99)",UNIDADE,06/06/2018 11:06,005,standard - baseado em técnica digital,85184000,AMPLIFICADOR ELETRICO DE AUDIOFREQUENCIA
1249,ADAPTADOR DO CARREGADOR DE BATERIA PARA TELEFONE CELULAR,"Portaria Interministerial MPO/MICT/MCT nº 17, de 23 de setembro de 1996",UNIDADE,,005,standard - baseado em técnica digital,85299019,OUTROS PARTES P/APARS.TRANSMISSORES/RECEPTORES
1798,ADESIVO A BASE DE LÁTEX,"Portaria Interministerial nº MDIC/MCT nº 153, de 28 de agosto de 2007",QUILOGRAMA LÍQUIDO,,005,de uso industrial,35069110,ADESIVOS A BASE DE BORRACHA
1798,ADESIVO A BASE DE LÁTEX,"Portaria Interministerial nº MDIC/MCT nº 153, de 28 de agosto de 2007",QUILOGRAMA LÍQUIDO,,010,para uso escolar,35069110,ADESIVOS A BASE DE BORRACHA
1305,ADESIVO CUTÂNEO - EMPLASTRO DESTINADOS A FINS MEDICINAIS,"Portaria Interministerial MDIC/MCT nº 84, de 17 de maio de 2006 e Portaria Interministerial SEPEC/ME/SEXEC/MCTIC nº 10, de 20 de fevereiro de 2020",QUILOGRAMA LÍQUIDO,28/02/2025 11:02,010,impregnado ou recoberto com substânicas farmacêuticas,30051010,impregnados ou recobertos com substâncias farmacêuticas
1305,ADESIVO CUTÂNEO - EMPLASTRO DESTINADOS A FINS MEDICINAIS,"Portaria Interministerial MDIC/MCT nº 84, de 17 de maio de 2006 e Portaria Interministerial SEPEC/ME/SEXEC/MCTIC nº 10, de 20 de fevereiro de 2020",QUILOGRAMA LÍQUIDO,28/02/2025 11:02,015,outros adesivos cutâneos,30051090,"OUTS.PENSOS ADESIVOS,ARTIGOS ANALOGOS C/CAMADA ADESIVA"
1508,ADITIVO PARA ARGAMASSA,"PORTARIA INTERMINISTERIAL MDIC/MCT N° 180, 5 DE JULHO DE 2004",QUILOGRAMA LÍQUIDO,,005,para argamassa colante,38244000,"ADITIVOS PREPARADOS P/CIMENTOS,ARGAMASSAS OU CONCRETOS"
1508,ADITIVO PARA ARGAMASSA,"PORTARIA INTERMINISTERIAL MDIC/MCT N° 180, 5 DE JULHO DE 2004",QUILOGRAMA LÍQUIDO,,010,para argamassa de assentamento e revestimento,38244000,"ADITIVOS PREPARADOS P/CIMENTOS,ARGAMASSAS OU CONCRETOS"
1508,ADITIVO PARA ARGAMASSA,"PORTARIA INTERMINISTERIAL MDIC/MCT N° 180, 5 DE JULHO DE 2004",QUILOGRAMA LÍQUIDO,,015,aditivo plástificante e densificante de argamassas,38244000,"ADITIVOS PREPARADOS P/CIMENTOS,ARGAMASSAS OU CONCRETOS"
0268,ADITIVO PARA PANIFICAÇÃO,"PORTARIA INTERMINISTERIAL MDIC/MCT N° 107, 10 DE JULHO DE 2001 OBS: Somente para fermento",QUILOGRAMA LÍQUIDO,,005,fermento (pó para levedar),21023000,"POS PARA LEVEDAR,PREPARADOS"
2280,"ADITIVOS PARA A INDÚSTRIA ALIMENTÍCIA - ENZIMAS ESPECIAIS PREPARADAS, PARA USO EM ALIMENTOS E BEBIDAS","PORTARIA INTERMINISTERIAL SEPEC/ME/SEXEC/MCTI N° 14650, 17 DE DEZEMBRO DE 2021",QUILOGRAMA LÍQUIDO,,005,para alimentos,35079042,Enzimas preparadas à base de transglutaminase
2280,"ADITIVOS PARA A INDÚSTRIA ALIMENTÍCIA - ENZIMAS ESPECIAIS PREPARADAS, PARA USO EM ALIMENTOS E BEBIDAS","PORTARIA INTERMINISTERIAL SEPEC/ME/SEXEC/MCTI N° 14650, 17 DE DEZEMBRO DE 2021",QUILOGRAMA LÍQUIDO,,010,para bebidas,35079049,OUTROS ENZIMAS PREPARADAS
1303,AEROSSOL PARA FINS TERAPÊUTICOS OU PROFILÁTICOS,"Portaria Interministerial MDIC/MCT nº 84, de 17 de maio de 2006 e Portaria Interministerial SEPEC/ME/SEXEC/MCTIC nº 10, de 20 de fevereiro de 2020",QUILOGRAMA LÍQUIDO,04/08/2022 11:08,005,standard,"30044090, 30049024","OUTS.MEDICAMENTOS C/ALCALOIDES,S/HORMONIOS,ETC.EM DOSES | MEDICAMENTO CONT.ACIDO O-ACETILSALICILICO,ETC.EM DOSES"
1992,AGENTES ORGÂNICOS DE SUPERFÍCIE (EXCETO SABÕES) E PREPARAÇÕES TENSOATIVAS,"Portaria Interministerial MDIC/MCT nº 106, de 5 de maio de 2011",QUILOGRAMA LÍQUIDO,,005,agentes orgânicos,"34021130, 34021190, 34021290, 34021300, 34021900","ALQUILSULFONATO DE SODIO,SECUNDARIO (AGENTE ORG.SUPERF) | OUTROS AGENTES ORGANICOS DE SUPERFICIE,ANIONICOS | OUTROS AGENTES ORGANICOS DE SUPERFICIE,CATIONICOS | AGENTES ORGANICOS DE SUPERFICIE,NAO IONICOS | OUTROS AGENTES ORGANICOS DE SUPERFICIE"
1992,AGENTES ORGÂNICOS DE SUPERFÍCIE (EXCETO SABÕES) E PREPARAÇÕES TENSOATIVAS,"Portaria Interministerial MDIC/MCT nº 106, de 5 de maio de 2011",QUILOGRAMA LÍQUIDO,,010,preparações,"34029011, 34029019, 34029023, 34029029",MISTURAS DE AGENTE ORGAN.DE SUPERF.CONT.PRODS.N/IONICOS | OUTROS MISTURAS DE AGENTES ORGANICOS DE SUPERFICIE | SOLUÇÕES OU EMULSÕES HIDROALCOÓLICAS DE SOLFONATOS DE... | OUTRAS
0191,AGULHA PARA USO MÉDICO,"PORTARIA INTERMINISTERIAL MDIC/MCT N° 41, 3 DE FEVEREIRO DE 2009 OBS: (EXCETO PARA SUTURAS)",UNIDADE,,005,"para coleta de sangue à vácuo, descartável","90183212, 90183910","De aco cromo-niquel, bisel trifacetado e diametro exterior igual ou superior a 1,6 mm, do tipo utilizado com b... | OUTROS AGULHAS"
0191,AGULHA PARA USO MÉDICO,"PORTARIA INTERMINISTERIAL MDIC/MCT N° 41, 3 DE FEVEREIRO DE 2009 OBS: (EXCETO PARA SUTURAS)",UNIDADE,,010,"escalpes (infusão intravenosa), descartável","90183219, 90183220, 90183910",OUTROS AGULHAS TUBULARES DE METAL | AGULHAS PARA SUTURAS | OUTROS AGULHAS
0191,AGULHA PARA USO MÉDICO,"PORTARIA INTERMINISTERIAL MDIC/MCT N° 41, 3 DE FEVEREIRO DE 2009 OBS: (EXCETO PARA SUTURAS)",UNIDADE,,020,"para anestesia, descartável","90183219, 90183910",OUTROS AGULHAS TUBULARES DE METAL | OUTROS AGULHAS
0191,AGULHA PARA USO MÉDICO,"PORTARIA INTERMINISTERIAL MDIC/MCT N° 41, 3 DE FEVEREIRO DE 2009 OBS: (EXCETO PARA SUTURAS)",UNIDADE,,025,"para raquidiana, descartável","90183219, 90183910",OUTROS AGULHAS TUBULARES DE METAL | OUTROS AGULHAS
0191,AGULHA PARA USO MÉDICO,"PORTARIA INTERMINISTERIAL MDIC/MCT N° 41, 3 DE FEVEREIRO DE 2009 OBS: (EXCETO PARA SUTURAS)",UNIDADE,,030,"de uso odontológico (gengival), descartável",90183211,"AGULHAS TUBULARES DE METAL,GENGIVAIS"
0191,AGULHA PARA USO MÉDICO,"PORTARIA INTERMINISTERIAL MDIC/MCT N° 41, 3 DE FEVEREIRO DE 2009 OBS: (EXCETO PARA SUTURAS)",UNIDADE,,035,"hipodérmica (intravenosa, subcutânea e intramuscular)",90183219,OUTROS AGULHAS TUBULARES DE METAL
0855,"AJUSTADOR DA MOLA DO AMORTECEDOR PARA VEÍCULO DE DUAS RODAS, TRICICLO E QUADRICICLO (EXCETO BICICLETA)","PORTARIA INTERMINISTERIAL MDIC/MCTI N° 75, 26 DE SETEMBRO DE 2024",UNIDADE,,005,standard,87141000,PARTES ACESSÓRIOS P/MOTOCICLETAS INCL.CICLOMOTORES
0120,ALARME ELETRÔNICO PARA VEÍCULO,"PORTARIA INTERMINISTERIAL SEPEC/ME/SEXEC/MCTI N° 58, 9 DE OUTUBRO DE 2020. Alterações: PI 8872/2021, PI 1167/2022, PI 8646/2022, PI 30/2023, PI 60/2024, PI 70/2024 e PI 105/2025",UNIDADE,17/04/2026 11:04,005,standard,"85123000, 85311090","APARS.DE SINALIZACAO ACUSTICA UTIL.EM CICLOS/AUTOMOVEIS | OUTS.APARS.ELETR.DE ALARME,P/PROTECAO CONTRA ROUBO"
0120,ALARME ELETRÔNICO PARA VEÍCULO,"PORTARIA INTERMINISTERIAL SEPEC/ME/SEXEC/MCTI N° 58, 9 DE OUTUBRO DE 2020. Alterações: PI 8872/2021, PI 1167/2022, PI 8646/2022, PI 30/2023, PI 60/2024, PI 70/2024 e PI 105/2025",UNIDADE,17/04/2026 11:04,010,detector de violação de painel; com saída de comunicação para módulos rastreamento e localização,85123000,APARS.DE SINALIZACAO ACUSTICA UTIL.EM CICLOS/AUTOMOVEIS
1472,ALAVANCA DE EMBREAGEM DA TAMPA DO MOTOR,"PORTARIA INTERMINISTERIAL MDIC/MCTI N° 75, 26 DE SETEMBRO DE 2024",UNIDADE,,005,standard,84839000,Rodas dentadas e outros órgãos elementares de transmissão apresentados separadamente; partes.
1471,"ALAVANCA DO GUIDÃO DA EMBREAGEM PARA VEÍCULO DE DUAS RODAS, TRICICLO E QUADRICICLO","PORTARIA INTERMINISTERIAL MDIC/MCTI N° 75, 26 DE SETEMBRO DE 2024",UNIDADE,,005,standard,87141000,PARTES ACESSÓRIOS P/MOTOCICLETAS INCL.CICLOMOTORES
0515,"ALIMENTO A BASE DE CEREAIS, OBTIDOS POR EXPANSÃO","PORTARIA INTERMINISTERIAL MPO/MICT/MCT N° 37, 24 DE NOVEMBRO DE 1998",QUILOGRAMA LÍQUIDO,,005,standard,19041000,"PRODS.A BASE DE CEREAIS,OBTIDOS POR EXPANSAO,TORREFACAO"
0768,ALIMENTO FRITO A BASE DE CEREAIS,"Portaria Interministerial MDIC/MCT nº 79, de 11 de junho de 2001",QUILOGRAMA LÍQUIDO,06/10/2025 17:10,005,salgados,19049000,"OUTS.CEREAIS EM GRAOS,PRE-COZIDOS,PREPARS.DE OUT.MODO"
0219,ALMOFADA,"PORTARIA INTERMINISTERIAL SEPEC/ME/SEXEC/MCTI N° 62, 17 DE NOVEMBRO DE 2020 - IV - TRAVESSEIROS E ALMOFADAS.",UNIDADE,,010,com enchimento de espuma,94049000,"EDEDROES,ALMOFADAS,PUFES,TRAVESSEIROS E ARTIGOS SEMELH."
0219,ALMOFADA,"PORTARIA INTERMINISTERIAL SEPEC/ME/SEXEC/MCTI N° 62, 17 DE NOVEMBRO DE 2020 - IV - TRAVESSEIROS E ALMOFADAS.",UNIDADE,,015,com enchimento exceto espuma e pena,94049000,"EDEDROES,ALMOFADAS,PUFES,TRAVESSEIROS E ARTIGOS SEMELH."
0219,ALMOFADA,"PORTARIA INTERMINISTERIAL SEPEC/ME/SEXEC/MCTI N° 62, 17 DE NOVEMBRO DE 2020 - IV - TRAVESSEIROS E ALMOFADAS.",UNIDADE,,020,com enchimento de lã sintética,94049000,"EDEDROES,ALMOFADAS,PUFES,TRAVESSEIROS E ARTIGOS SEMELH."
1685,ALMOFADA PARA CARIMBO,"Portaria Interministerial MDIC/MCT nº 188, de 9 de junho de 2005",UNIDADE,,005,standard,96122000,ALMOFADAS DE CARIMBO
0065,ALTO-FALANTE,"PORTARIA INTERMINISTERIAL MDIC/MCT N° 285, 6 DE SETEMBRO DE 2005 OBS: Somente para ALTO FALANTE PARA APARELHO DE ÁUDIO E VÍDEO E BENS DE INFORMÁTICA",UNIDADE,,005,standard,85182990,Outros
0808,"ALUMÍNIO EM CHAPA, LÂMINAS, FOLHAS E TIRAS PARA EMBALAGEM (E < 0,2 MM)","Portaria Interministerial MDIC/MCT nº 70, de 6 de novembro de 2000",QUILOGRAMA LÍQUIDO,19/02/2020 11:02,015,Folha delgada de alumínio,"76071110, 76071190, 76071910, 76071990","FOLHAS DE ALUMINIO S/SUPORTE,LAMIN.E<=0.2MM,TEOR SILIC. | OUTS.FOLHAS/TIRAS,DE ALUMINIO S/SUPORTE,LAMIN.E<=0.2MM | FOLHAS/TIRAS,DE ALUMINIO,S/SUPORTE,GRAVAD.E<=110MICRONS | OUTS.FOLHAS E TIRAS,DE ALUMINIO,S/SUPORTE,ESP<=0.2MM"
0808,"ALUMÍNIO EM CHAPA, LÂMINAS, FOLHAS E TIRAS PARA EMBALAGEM (E < 0,2 MM)","Portaria Interministerial MDIC/MCT nº 70, de 6 de novembro de 2000",QUILOGRAMA LÍQUIDO,19/02/2020 11:02,020,Tira delgada de alumínio,"76071110, 76071190, 76071910, 76071990","FOLHAS DE ALUMINIO S/SUPORTE,LAMIN.E<=0.2MM,TEOR SILIC. | OUTS.FOLHAS/TIRAS,DE ALUMINIO S/SUPORTE,LAMIN.E<=0.2MM | FOLHAS/TIRAS,DE ALUMINIO,S/SUPORTE,GRAVAD.E<=110MICRONS | OUTS.FOLHAS E TIRAS,DE ALUMINIO,S/SUPORTE,ESP<=0.2MM"
1462,"ALÇA TRASEIRA DIREITA OU ESQUERDA DE AÇO PARA VEÍCULO DE DUAS RODAS, TRICICLO E QUADRICICLO (EXCETO BICICLETA)","PORTARIA INTERMINISTERIAL MDIC/MCTI N° 75, 26 DE SETEMBRO DE 2024",UNIDADE,,005,standard,87141000,PARTES ACESSÓRIOS P/MOTOCICLETAS INCL.CICLOMOTORES
1111,"AMORTECEDOR DIANTEIRO PARA VEÍCULO DE DUAS RODAS, TRICICLO E QUADRICICLO (EXCETO BICICLETA)","PORTARIA INTERMINISTERIAL MDIC/MCTI N° 75, 26 DE SETEMBRO DE 2024 - ART. 48 - AMORTECEDOR DIANTEIRO. Alteração: PI 118/2025",UNIDADE,,005,standard (convencional),87141000,PARTES ACESSÓRIOS P/MOTOCICLETAS INCL.CICLOMOTORES
0146,"AMORTECEDOR PARA VEÍCULO DE DUAS RODAS, TRICICLO E QUADRICICLO (EXCETO BICICLETA)","Portaria Interministerial MDIC/MCTIC nº 171, de 1º de julho de 2016, com alterações dadas pela PI 40/2017, PI 34/2018, PI 50/2019, PI 34/2020 e PI 1251/2022.",UNIDADE,09/02/2024 11:02,005,dianteiro,87141000,PARTES ACESSÓRIOS P/MOTOCICLETAS INCL.CICLOMOTORES
0146,"AMORTECEDOR PARA VEÍCULO DE DUAS RODAS, TRICICLO E QUADRICICLO (EXCETO BICICLETA)","Portaria Interministerial MDIC/MCTIC nº 171, de 1º de julho de 2016, com alterações dadas pela PI 40/2017, PI 34/2018, PI 50/2019, PI 34/2020 e PI 1251/2022.",UNIDADE,09/02/2024 11:02,010,traseiro,87141000,PARTES ACESSÓRIOS P/MOTOCICLETAS INCL.CICLOMOTORES
0146,"AMORTECEDOR PARA VEÍCULO DE DUAS RODAS, TRICICLO E QUADRICICLO (EXCETO BICICLETA)","Portaria Interministerial MDIC/MCTIC nº 171, de 1º de julho de 2016, com alterações dadas pela PI 40/2017, PI 34/2018, PI 50/2019, PI 34/2020 e PI 1251/2022.",UNIDADE,09/02/2024 11:02,015,dianteiro a gás,87141000,PARTES ACESSÓRIOS P/MOTOCICLETAS INCL.CICLOMOTORES
1099,"AMORTECEDOR TRASEIRO PARA VEÍCULO DE DUAS RODAS, TRICICLO E QUADRICICLO (EXCETO BICICLETA)","PORTARIA INTERMINISTERIAL MDIC/MCTI N° 75, 26 DE SETEMBRO DE 2024",UNIDADE,12/03/2026 17:03,005,standard ( convencional),87141000,PARTES ACESSÓRIOS P/MOTOCICLETAS INCL.CICLOMOTORES
1099,"AMORTECEDOR TRASEIRO PARA VEÍCULO DE DUAS RODAS, TRICICLO E QUADRICICLO (EXCETO BICICLETA)","PORTARIA INTERMINISTERIAL MDIC/MCTI N° 75, 26 DE SETEMBRO DE 2024",UNIDADE,12/03/2026 17:03,010,com funcionamento a óleo injetado a vácuo,87141000,PARTES ACESSÓRIOS P/MOTOCICLETAS INCL.CICLOMOTORES
1098,"AMORTECEDOR TRASEIRO A GÁS PARA VEÍCULO DE DUAS RODAS, TRICICLO E QUADRICICLO (EXCETO BICICLETA)","PORTARIA INTERMINISTERIAL MDIC/MCTI N° 75, 26 DE SETEMBRO DE 2024",UNIDADE,08/05/2025 18:05,005,standard,87141000,PARTES ACESSÓRIOS P/MOTOCICLETAS INCL.CICLOMOTORES
2232,AMORTECEDOR TRASEIRO COM FUNCIONAMENTO A ÓLEO INJETADO A VÁCUO,"PORTARIA INTERMINISTERIAL MDIC/MCTI N° 75, 26 DE SETEMBRO DE 2024",UNIDADE,23/09/2020 17:09,005,standard,87141000,PARTES ACESSÓRIOS P/MOTOCICLETAS INCL.CICLOMOTORES
0104,AMPLIFICADOR COM SINTONIZADOR - RECEIVER,"PORTARIA INTERMINISTERIAL MDIC/MCTI N° 4, 8 DE MAIO DE 2023. Alteração: PI 122/2025",UNIDADE,,005,standard,85279910,"Amplificador com sintonizador (""receiver"")"
