produto_id,status,n_insumos
0001,ok,626
0002,ok,2728
0003,ok,4419
0004,ok,452
0005,ok,687
0006,ok,725
0007,ok,2260
0008,ok,120
0009,ok,31
0017,ok,3
0022,ok,10
0023,ok,84
0024,ok,177
0027,ok,60
0028,ok,12
0036,ok,23
0040,ok,72
0043,ok,23
0045,ok,453
0046,ok,134
0047,ok,44
0049,ok,42
0050,ok,162
0052,ok,157
0057,ok,241
0058,ok,42
0064,ok,95
0065,ok,37
0066,ok,419
0068,ok,164
0069,ok,48
0070,ok,14
0071,ok,32
0072,ok,202
0073,ok,72
0074,ok,21
0075,ok,6
0076,ok,168
0077,ok,492
0078,ok,74
0079,ok,9
0080,ok,14
0082,ok,9
0084,ok,25
0085,ok,2
0087,ok,31
0089,ok,768
0091,ok,260
0092,ok,3
0095,ok,47
0096,ok,283
0097,ok,35
0098,ok,143
0099,ok,538
0100,ok,475
0101,ok,47
0102,ok,87
0104,ok,210
0105,ok,557
0106,ok,759
0107,ok,207
0108,ok,336
0109,ok,70
0111,ok,62
0114,ok,313
0115,ok,484
0116,ok,12
0118,ok,56
0119,ok,18
0120,ok,100
0139,ok,466
0140,ok,80
0141,ok,2
0142,ok,5
0149,ok,48
0150,ok,50
0151,ok,72
0152,ok,8
0153,ok,7
0159,ok,2
0163,ok,21
0166,ok,12
0167,ok,44
0169,ok,25
0170,ok,6
0171,ok,6
0173,ok,9
0174,ok,21
0175,ok,33
0176,ok,13
0177,ok,111
0179,ok,52
0180,ok,34
0181,ok,58
0184,ok,117
0186,ok,2
0188,ok,400
0189,ok,210
0190,ok,33
0191,ok,23
0192,ok,4
0193,ok,3
0194,ok,3
0195,ok,1
0202,ok,524
0203,ok,41
0204,ok,17
0205,ok,4
0206,ok,21
0207,ok,45
0208,ok,40
0216,ok,27
0217,ok,27
0218,ok,67
0219,ok,2
0220,ok,13
0221,ok,2
0222,ok,14
0224,ok,179
0225,ok,333
0226,ok,171
0227,ok,198
0230,ok,263
0236,ok,135
0238,ok,42
0241,ok,240
0242,ok,119
0243,ok,197
0244,ok,18
0245,ok,2
0246,ok,12
0247,ok,29
0248,ok,72
0249,ok,14
0251,ok,67
0253,ok,7
0254,ok,3
0255,ok,17
0256,ok,10
0257,ok,25
0258,ok,68
0259,ok,3
0261,ok,2
0262,ok,22
0263,ok,8
0264,ok,70
0265,ok,3
0266,ok,12
0268,ok,7
0269,ok,6
0270,ok,4
0272,ok,10
0276,ok,30
0277,ok,520
0278,ok,170
0280,ok,53
0282,ok,289
0283,ok,51
0284,ok,119
0285,ok,1068
0288,ok,54
0291,ok,22
0292,ok,4
0293,ok,57
0295,ok,68
0296,ok,20
0297,ok,36
0298,ok,76
0299,ok,39
0300,ok,122
0301,ok,135
0302,ok,337
0304,ok,103
0306,ok,47
0307,ok,477
0308,ok,97
0309,ok,314
0310,ok,126
0311,ok,84
0312,ok,174
0313,ok,103
0315,ok,137
0316,ok,22
0317,ok,79
0319,ok,288
0320,ok,550
0321,ok,14
0322,ok,6
0323,ok,100
0324,ok,6
0328,ok,86
0329,ok,68
0332,ok,190
0333,ok,119
0335,ok,727
0342,ok,26
0344,ok,115
0346,ok,593
0348,ok,227
0349,ok,91
0351,ok,45
0356,ok,63
0358,ok,2
0361,ok,678
0363,ok,30
0366,ok,11
